===================================================================================================================
Lumping method ** Weighted_Medoid ** | Organic surrogate components total (gas + condensed) composition | psat calculated by EVAP method at T = 298.15 K
YaxisChoice = log10(act.coeff_ratio)
Grid resolution = 10x05
===================================================================================================================
 
nneutral (full system) : 0175; # of organic surrogate components: 0037
 
Comp_ID, TotMassConc_lumped_[ug/m^3], ntot_lumped_[mol/m^3], TotMassConc_original_[ug/m^3], ntot_original_[mol/m^3], Molar_mass_[kg/mol]
002,        1.627275E-03,        6.983713E-12,        1.440629E-03,        6.182690E-12,        2.330100E-01
008,        6.068069E-08,        2.475530E-16,        6.068069E-08,        2.475530E-16,        2.451220E-01
010,        1.017252E-03,        6.317001E-12,        8.366409E-04,        5.195430E-12,        1.610340E-01
012,        1.645529E+00,        9.342695E-09,        2.131613E-02,        1.210250E-10,        1.761300E-01
021,        3.045381E-02,        1.618695E-10,        3.039388E-02,        1.615510E-10,        1.881380E-01
022,        2.106794E-02,        1.332975E-10,        2.103814E-02,        1.331090E-10,        1.580520E-01
026,        1.115635E-02,        7.638196E-11,        1.044418E-02,        7.150610E-11,        1.460600E-01
027,        6.192301E-01,        3.003959E-09,        4.682899E-01,        2.271730E-09,        2.061380E-01
032,        1.821495E-03,        1.123963E-11,        1.793761E-03,        1.106850E-11,        1.620600E-01
034,        2.850010E-01,        1.801819E-09,        2.570944E-01,        1.625390E-09,        1.581740E-01
036,        3.722449E+00,        1.722319E-08,        3.635004E+00,        1.681860E-08,        2.161300E-01
038,        1.103288E-04,        8.230300E-13,        1.103288E-04,        8.230300E-13,        1.340520E-01
046,        1.801806E-10,        6.899560E-19,        1.801806E-10,        6.899560E-19,        2.611480E-01
049,        1.267302E+01,        8.913742E-08,        3.048808E-02,        2.144420E-10,        1.421740E-01
050,        4.749676E-02,        2.728884E-10,        4.717279E-02,        2.710270E-10,        1.740520E-01
059,        6.346097E-01,        3.170417E-09,        4.175943E-01,        2.086240E-09,        2.001660E-01
062,        1.822165E-03,        1.110670E-11,        1.822165E-03,        1.110670E-11,        1.640600E-01
065,        2.829298E-01,        1.413730E-09,        2.829298E-01,        1.413730E-09,        2.001300E-01
069,        4.476518E-01,        2.866990E-09,        2.458924E-01,        1.574820E-09,        1.561400E-01
074,        1.216984E-11,        5.961340E-20,        1.216984E-11,        5.961340E-20,        2.041460E-01
078,        7.976329E-03,        4.528660E-11,        7.976329E-03,        4.528660E-11,        1.761300E-01
086,        8.164491E-09,        3.980310E-17,        8.164491E-09,        3.980310E-17,        2.051220E-01
087,        1.700190E-01,        8.940183E-10,        1.700190E-01,        8.940180E-10,        1.901740E-01
090,        1.215143E+00,        7.140929E-09,        9.272737E-01,        5.449230E-09,        1.701660E-01
094,        5.589952E-01,        2.737730E-09,        5.589952E-01,        2.737730E-09,        2.041820E-01
104,        2.498610E-04,        1.160870E-12,        2.498610E-04,        1.160870E-12,        2.152360E-01
109,        3.834551E-02,        2.016720E-10,        3.834551E-02,        2.016720E-10,        1.901380E-01
110,        6.303726E-01,        3.384660E-09,        6.303726E-01,        3.384660E-09,        1.862440E-01
123,        4.318818E-02,        2.479599E-10,        2.718003E-02,        1.560510E-10,        1.741740E-01
127,        8.934211E-02,        5.652704E-10,        8.931487E-02,        5.650980E-10,        1.580520E-01
131,        8.324643E-04,        4.674980E-12,        8.324643E-04,        4.674980E-12,        1.780680E-01
134,        2.453997E+00,        1.304110E-08,        2.452792E+00,        1.303470E-08,        1.881740E-01
135,        8.362085E-03,        5.222060E-11,        8.362085E-03,        5.222060E-11,        1.601300E-01
137,        1.778911E-11,        1.201480E-19,        1.778911E-11,        1.201480E-19,        1.480600E-01
138,        2.375191E+00,        1.186611E-08,        1.316992E+00,        6.579500E-09,        2.001660E-01
161,        9.914837E-04,        5.696480E-12,        9.914837E-04,        5.696480E-12,        1.740520E-01
162,        7.619697E-06,        4.008890E-14,        7.619697E-06,        4.008890E-14,        1.900700E-01
