===================================================================================================================
Lumping method ** Weighted_Medoid ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 37
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 3.951750E+00,    -5.221490E+04,    O=C(OON(=O)=O)CC(=O)CC(=O)C(=O)C                                                                                                                                                                        
 4.434960E+00,    -6.253200E+04,    O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                      
 4.398620E+00,    -5.013540E+04,    CC(=O)C(=O)CC(=O)COO                                                                                                                                                                                    
 4.506020E+00,    -6.803290E+04,    O=CCC(C(=O)O)C(C)(C)OO                                                                                                                                                                                  
 4.800110E+00,    -6.141730E+04,    OCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                               
 4.002130E+00,    -4.927690E+04,    O=CCC(=O)CC(O)C(=O)C                                                                                                                                                                                    
 4.756510E+00,    -5.763540E+04,    CC(=O)C(=O)CC(O)CO                                                                                                                                                                                      
 5.156740E+00,    -8.573650E+04,    OCC(CC(=O)C(=O)O)C(C)(C)OO                                                                                                                                                                              
 4.859410E+00,    -6.347990E+04,    OCC(OO)CC(=O)C(=O)C                                                                                                                                                                                     
 4.481350E+00,    -5.764410E+04,    OCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                    
 4.681820E+00,    -6.394850E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)OO                                                                                                                                                                            
 4.322940E+00,    -6.164990E+04,    O=CCC(OO)C(=O)O                                                                                                                                                                                         
 5.419940E+00,    -7.666930E+04,    OOC(C)(C)C1CC(=O)CC(=O)C1(C)ON(=O)=O                                                                                                                                                                    
 4.171520E+00,    -4.048560E+04,    O=CCC1CC(O)C1(C)C                                                                                                                                                                                       
 4.498740E+00,    -5.756550E+04,    O=CCC(OO)CC(=O)C(=O)C                                                                                                                                                                                   
 4.481640E+00,    -5.729590E+04,    O=CCC1(OO)CC(C(=O)C)C1(C)C                                                                                                                                                                              
 4.949740E+00,    -7.855340E+04,    OCC(OO)CC(=O)C(=O)O                                                                                                                                                                                     
 4.296400E+00,    -5.470270E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                             
 4.291970E+00,    -4.810810E+04,    O=CC1CC(C(=O)O)C1(C)C                                                                                                                                                                                   
 4.937760E+00,    -7.354700E+04,    OCC(=O)C(=O)CC(CO)C(C)(C)O                                                                                                                                                                              
 4.956120E+00,    -7.987730E+04,    OOC1(C)C(O)CC(=O)CC1O                                                                                                                                                                                   
 5.506990E+00,    -7.713500E+04,    O=C1CC(O)C(C)(ON(=O)=O)C(O)C1                                                                                                                                                                           
 4.786890E+00,    -7.769630E+04,    OCC1CC(OO)(C(=O)O)C1(C)C                                                                                                                                                                                
 4.354950E+00,    -5.092960E+04,    O=CCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                  
 4.398470E+00,    -7.237030E+04,    OCC(=O)C1(OO)CC(CO)C1(C)C                                                                                                                                                                               
 4.480960E+00,    -5.600670E+04,    O=N(=O)OC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                          
 4.935450E+00,    -7.649080E+04,    OCC(CC(=O)C(=O)O)C(C)(C)O                                                                                                                                                                               
 4.171410E+00,    -5.874910E+04,    OOC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                                
 4.359810E+00,    -5.952790E+04,    OOCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                   
 4.393440E+00,    -5.252110E+04,    O=CCC(O)CC(=O)C(=O)C                                                                                                                                                                                    
 4.952050E+00,    -7.560970E+04,    OCC(OO)CC(=O)C(=O)CO                                                                                                                                                                                    
 4.424430E+00,    -6.024060E+04,    OCC1CC(OO)(C(=O)C)C1(C)C                                                                                                                                                                                
 4.686990E+00,    -6.903130E+04,    O=C1CC(O)C(C)(O)C(O)C1                                                                                                                                                                                  
 4.866260E+00,    -7.270890E+04,    OCC(O)CC(=O)C(=O)O                                                                                                                                                                                      
 4.266880E+00,    -5.352610E+04,    O=CCC1CC(OO)(C(=O)C)C1(C)C                                                                                                                                                                              
 4.276010E+00,    -6.766360E+04,    OC(=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                                 
 4.155310E+00,    -6.206410E+04,    OOC(=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                                
