===================================================================================================================
Lumping method ** Medoid ** | Pure organic component vapor pressure, param. A and B computed using EVAPORATION method | YaxisChoice = log10(act.coeff_ratio)
===================================================================================================================
 
nneutral (full system) : 175; # of organic surrogate components: 37
 
  EVAPParam_A,      EVAPParam_B,       SMILES                                                                                                                                                                                                                                                               
 4.434960E+00,    -6.253200E+04,    O=CCC(=O)CC(C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                      
 4.800110E+00,    -6.141730E+04,    OCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                               
 4.756510E+00,    -5.763540E+04,    CC(=O)C(=O)CC(O)CO                                                                                                                                                                                      
 5.156740E+00,    -8.573650E+04,    OCC(CC(=O)C(=O)O)C(C)(C)OO                                                                                                                                                                              
 4.859410E+00,    -6.347990E+04,    OCC(OO)CC(=O)C(=O)C                                                                                                                                                                                     
 4.609480E+00,    -6.120610E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)ON(=O)=O                                                                                                                                                                      
 4.322940E+00,    -6.164990E+04,    O=CCC(OO)C(=O)O                                                                                                                                                                                         
 4.868570E+00,    -6.976510E+04,    OCC(O)CC(=O)C(=O)CO                                                                                                                                                                                     
 5.419940E+00,    -7.666930E+04,    OOC(C)(C)C1CC(=O)CC(=O)C1(C)ON(=O)=O                                                                                                                                                                    
 4.171520E+00,    -4.048560E+04,    O=CCC1CC(O)C1(C)C                                                                                                                                                                                       
 4.351060E+00,    -6.028130E+04,    OOC(=O)CC1CC(C(=O)CO)C1(C)C                                                                                                                                                                             
 4.949740E+00,    -7.855340E+04,    OCC(OO)CC(=O)C(=O)O                                                                                                                                                                                     
 4.296400E+00,    -5.470270E+04,    O=CCC(CC(=O)C(=O)C)C(C)(C)O                                                                                                                                                                             
 4.937760E+00,    -7.354700E+04,    OCC(=O)C(=O)CC(CO)C(C)(C)O                                                                                                                                                                              
 4.956120E+00,    -7.987730E+04,    OOC1(C)C(O)CC(=O)CC1O                                                                                                                                                                                   
 5.506990E+00,    -7.713500E+04,    O=C1CC(O)C(C)(ON(=O)=O)C(O)C1                                                                                                                                                                           
 4.786890E+00,    -7.769630E+04,    OCC1CC(OO)(C(=O)O)C1(C)C                                                                                                                                                                                
 4.354950E+00,    -5.092960E+04,    O=CCC1CC(C(=O)O)C1(C)C                                                                                                                                                                                  
 4.398470E+00,    -7.237030E+04,    OCC(=O)C1(OO)CC(CO)C1(C)C                                                                                                                                                                               
 4.426400E+00,    -5.482310E+04,    O=CCC(ON(=O)=O)CC(=O)C(=O)C                                                                                                                                                                             
 4.480960E+00,    -5.600670E+04,    O=N(=O)OC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                          
 4.123460E+00,    -5.019470E+04,    OCC1CC(O)(C(=O)C)C1(C)C                                                                                                                                                                                 
 3.744050E+00,    -4.614790E+04,    CC(=O)C(O)COO                                                                                                                                                                                           
 4.935450E+00,    -7.649080E+04,    OCC(CC(=O)C(=O)O)C(C)(C)O                                                                                                                                                                               
 4.171410E+00,    -5.874910E+04,    OOC(C)(C)C1CC=C(C)C(O)C1                                                                                                                                                                                
 4.082770E+00,    -5.205740E+04,    OOCC(=O)C1CC(CC=O)C1(C)C                                                                                                                                                                                
 5.423900E+00,    -7.279560E+04,    OOC1CC(=O)CC(=O)C1(C)ON(=O)=O                                                                                                                                                                           
 4.094690E+00,    -4.720010E+04,    OCC(=O)O                                                                                                                                                                                                
 4.120590E+00,    -5.487540E+04,    OOC1CC=C(C)C(O)C1                                                                                                                                                                                       
 4.952050E+00,    -7.560970E+04,    OCC(OO)CC(=O)C(=O)CO                                                                                                                                                                                    
 4.686990E+00,    -6.903130E+04,    O=C1CC(O)C(C)(O)C(O)C1                                                                                                                                                                                  
 4.866260E+00,    -7.270890E+04,    OCC(O)CC(=O)C(=O)O                                                                                                                                                                                      
 4.148860E+00,    -5.512140E+04,    O=CCC(=O)CC(OO)C(=O)C                                                                                                                                                                                   
 4.155310E+00,    -6.206410E+04,    OOC(=O)CC(=O)CC(O)C(=O)C                                                                                                                                                                                
 4.387350E+00,    -5.608810E+04,    OCC(=O)C1CC(CO)C1(C)C                                                                                                                                                                                   
 4.452050E+00,    -5.341740E+04,    OCC(=O)C(=O)CC(=O)OON(=O)=O                                                                                                                                                                             
 4.502780E+00,    -6.461540E+04,    OC(=O)C1CC(C(=O)O)C1(C)C                                                                                                                                                                                
